ulasan,label,label_final
"Bagus sih,tapi sekarang terlalu banyak komik(manhwa) yang terlalu dewasa,banyak sekali adegan intim,dan 3 bulan terakhir setiap ada komik baru dan mau dibaca langsung keluar peringatan umur 18 ke atas.Untuk anak usia di bawah umur langsung klik opsi ""ya"",langsung bisa baca itu komik dewasa.Dan juga banyak-banyakin komik cerita yang mendidik,contohnya seperti cerita rakyat (""Dedes"",""wathong yang tegas""),walau di ubah ini tetap seru dan bisa menambah ilmu tentang sejarah. Banyakin juga komik lokal",-1,2
"sy pribadi lbh suka tampilan webtoon dulu, like eps kliatan berguna untuk tandain chapter favorit jadi ez buat cari lg, tp skrng g kliatan lg, dulu kl cari judul psti muncul webtoon yg emg jdulnya akurat, tapi skrng kl cari wlpn udh sesuai judul, pasti judul lain yang cuma punya 1 kata yang sama dgn yg aku search juga ikut muncul, prhnya tampilan cm cover dan itu bikin pusing bgt, plus skrng lag bgt kalo buka wb pdhl jaringan stabil, tolong perbaiki.",-1,2
"Hmm saya sangat suka dengan app ini karena cerita nya sangat menarik,bagi para wibu atau pencinta anime download app web toon gk bakal nyesel pokok nya top banget dan saya kurang suka beberapa hal karena akun saya yg lama hilang setelah uninstall app ini jadi tolong dong kasih solusi nya agar gk mengulang baca eps cerita nya",-1,2
Apknya keren parah si. Aku suka. Komiknya jg macem2 genrenya. Dari author² terbaik pstinya. Recommended lah intinya. Ga nyesel download apk ini :),-1,2
"Apk nya bagu tapi tambah kan fitur saat komik di download ke simpannya ke kartu sd bukan ke penyimpana original,jika begini susah bagi hp kentang yang ingin download komik jadi tambahin fitur itu ya akan aku naikin rating nya",-1,2
"untuk isinya saya suka,, tpi saya merasa sudah dibatasi soal tdak bisa lgi sreenshot,, pdahl itu hanya ingin kubuat walpeper dan ada beberapa adegan yg lucu dan romantis yg tdak boleh dilwatkan, makanya saya sreenshot buat dijdikan memek di WA grub😀😀😭😭😭😭",-1,2
"Suka banget udah berapa tahun ya pakai ini? Lupa karna saking lamanya Dari awal kuliah sampai sekarang, walaupun hp udah nggak kuat dan bolak balik instal ulang, webtoon tetap nomor 1 yg didownload buat mengisi waktu senggang yg benar2 engga senggangku 😁😁😁",-1,2
"Sejujurnya aplikasi ini aplikasi favorit saya, tapi akhir ini saya sangat risih dengan pihak webtoon. Banyak banget komik2 dengan unsur dan adegan-adegan dewasa yang terus bermunculan. Verifikasi umur pembaca untuk membaca webtoon tersebut sangat mudah diakses, bahkan untuk anak di bawah umur. Tolong perketat lagi batasan akses untuk membaca komik dewasa tersebut dan sediakan fitur block untuk webtoon tertentu, agar webton2 tersebut bisa saya block supaya tidak muncul di beranda/rekomendasi saya",-1,2
"aww aplikasi favorit setiap kali mau ngebaca manga atau manhwa gituu! tapi masih ada satu keluhan sih, yaitu kalau misalnya kita mau screenshot panelnya, loading screenshot nya tuh lama banget, kadang ngambil waktu sekitar 5~6 detik gitu, kadang jadi gak seru apalagi kalau ngebaca webtoon yang ada lagunya, pokoknya itu aja sih, overall semuanya bagus banget, pokoknya sukses terus buat webtoon~!!",-1,2
"Tolong adain fitur Tap donk supaya pembaca gak pegel jari harus Scroll Scroll ke bawah ,, malah lebih enak kalo cuman tap tap layar ,, Tolong Respon nya!!",-1,2
aplikasi yah bagus bagus banget malah tapi min kalo bisa coin buat baca yah di kurangi ke jadi 15 aja jangan 18 hehe itu aja sih,-1,2
"Tolong dong.. Tambahkan mode malam.. Karena ketika malam.. Di saat saya baca.. Latar putihnya menyilaukan mata saya.. Dan saya suka banget webtoon.. Saya bacanya dari siang hingga malam.. Dan gak bosen-bosen.. ""Request Night Mode"" please ya",-1,2
Aplikasi ini sangat bagus...tapi dulu waktu saya terakhir baca ngebug banget..sering tiba tiba keluar jadi saya harapkan sudah di perbaiki setelah sekian lama saya gak baca,-1,2
"Sangat bagus dari dulu sih, tapi tolong dong isiin fitur grup chat kayak aplikasi baca komik yg lain, biar tambah seru sama biar busa diskusi sama sama suka comic",-1,2
"Aplikasi ini secara keseluruhan bagus sekali, sumpah, tapi sayangnya iklannya itu. Saya tidak masalah kalau harus nonton iklan untuk buka chapter baru, tapi mohon pilah-pilah lagi iklan yg boleh ditayangkan, karena banyak iklan"" dewasa yang seharusnya disensor. Tolong, kasihan anak"" yang dibawah umur.",-1,2
sangatt seruu membaca komik d aplikasi inii,-1,2
"Keren banget webtoon!!🔥🔥🔥 Saya pengguna lama webtoon dan selama ini saya sangat merasa puas dengan webtoon,, dari segi cerita, gambar, da lain lain sudah sangat bagus, DI TAMBAH LAGI SEKARANG UDH BISA DI SCREENSHOT 😭🔥🔥🔥🔥 THANK'S DEVELOPER NYAA!!! SENENG BNGET DAH!!",-1,2
bagus gk tau mau nulis apa tp yg jelas bagus 😎👍,-1,2
"aplikasi yg sangat menyenangkan untuk baca dan banyak komik2 seru setiap minggunya, setelah tau ada aplikasi ini mengubah hidup saya menjadi lebih berwarna karena komik banyak pilihan jenis komik dalam 1 aplikasi😘😘",-1,2
udah baca Webtoon dari lulus Sd sampe sekarang udah lulus kuliah baru terasa update nya terlalu berlebihan seakan Webtoon kehilangan ciri khas dan jati diri terlalu berani ambil keputusan mengubah tampilan sampe kita yang udah lama baca aja bingung sendiri liat katalog nya ☹️,-1,2
"Aplikasinya bagus Tapi untuk editor perhatikan juga komikus komikus yg bergenre action,fantasy,dll Jgn terlalu sering genre romance",-1,2
"GATAU LAGI POKOKNYA SUKA. Perfect deh pokoknya, ga ada kurangnya. Ada banyak cerita dari berbagai genre disini, terus juga ada banyak yang udah mau di bikin drama. ga kaya aplikasi lainnya yang sekarang mode nya ""Premium"", kalo webtoon engga. Webtoon tuh pake koin, tapi walaupun ga punya koin ttp bisa baca kok. Buat kalian yg belom tau, jadi koin disini cuma buat kalau kita mau baca cerita yang belom dipublish. POKOKNYA BURUAN DOWNLOAD, GUA JAMIN GA AKAN NYESEL!! 😂😂 cerita fav aq : TSOA💜🤗",-1,2
kasih bintang 3 aja dulu soalnya baru baca beberapa chapter bagi saya membaca di webtoon lumayan bagus dan menarik,-1,2
Ini sih bagus banget banyak cerita - cerita komiknya seru ga ada iklannya saya suka banget walaupun pake data ya yang penting ga ada iklan dan ini seru banget,-1,2
Saya senang membaca di Web Ton. Karna di web ton dan mangaton web ton lebih asyik kalau di mangaton tidak sangat asyik.lagipula Web ton keren untuk kita membaca agar membaca kita lancar,-1,2
Kalau app sangat baguslh toh saya pecinta webtoon dari kls 7 tapi saya lebih suka versi lama soalnya bisa di ss kan tapi yg versi baru gx bisa di ss kan 😢😢 mohon dong aplikasi webtoon bisa di ss kan lagi agar kami para pecinta webtoon bisa ss kan komik dan episode di webtoon agar bisa di momentumkan....pliiss 😢😢😭😭,-1,2
"arghhh tonton iklan tapi memuat mulu sampe gabisa, udh semingguan ini gabisa dipake fitur iklan tersebut untuk membuka episode selanjutnya 💔",-1,2
"Yang terhormat, developer naver Kenapa pada saat saya melakukan pembelian koin, pembayaran berhasil tetapi koinnya tidak masuk? Tolong perbaiki jangan sampai saya rugi",-1,2
"Supah suka banget sama line webtoon ini betwe aku udah punya line webtoon ini dri pertama keluar iklannya aku langsumg download supah nggak nyesel deh kalok mau baca komik romanses disini banyak banget dan gambarnya bagus"" mana ceritanya seru banget😍😍",-1,2
"Suka bangett, udah bertahun-tahun baca komik dari webtoon, rutin lagi tiap hari tauu wahahahh, selalu nunggu update an eps terbaru dari komik-komik yang aku sukaa, kalo belum baca sehari kek ngeganjel, terimakasih webtoon!!",-1,2
"aq sangat suka webtoon... komiknya selalu terbaik... 5 tahun sudah webtoon selalu menemani hari2q... buat authorx tetap semangat dan buat webtoon terima kasih,,, selalu tampilkan komik2 yg berkualitas",-1,2
"apk ini sangat membatu saya untuk membaca manhwa atau juga komik lokal. koin bisa dibelii atau nonton iklan yah sejauh ini saja ga pernah beli coin sih jadi menurut saya ini bagus karena bersabar dan bisa unlock sndri😋 kadang pelit kadang enggak. moga aja kedepannya apk ini banyakin manhwa"" lagii setelah saya menyukain 1 genre saya cari cari referensi judul dengan genre sama namu di apk ini belum ada jadi dilengkapi lagi.",-1,2
"Bagus dan semakin banyak, Namun sekarang terdapat fitur ""Sewa"" untuk Webtoon yang telah tamat, tak seperti dahulu yang bebas membacanya kapanpun. mohon kembali seperti dahulu :(",-1,2
aku sukaa udh gtw lagi mau ngomong apa pokoknya apk ini kalo aku bosan lngsung ke sini,-1,2
"Aku lebih suka layout halaman seperti dulu... yang sekarang kayak kurang enak dipandang... dulu enak nya karena ada list komik apa aja yang update di tiap hari itu, jadi enak buat baca komik nya karena ada schedule nya.",-1,2
cerita pertama yang aku baca di sini bener bener buat aku sakit hati Sampek Sampek mental ku down jadi mau aku kasih 1 bintang tapi aku coba lagi cari cari cerita yang lain Sampek aku ketemu cerita yang girl world bener bener bikin mental aku baik lagi Sampek Sampek kadang senyum sendiri kadang salting sendiri padahal cuma fiksi beneran suka pas liat episod di mana ngeliat masing masing nomor di hpnya Yoona paling bikin aku bahagia itu *my nari*😆😆😭😭pen nangis.......,-1,2
"Bagus, dari segi tampilan, menu dan fitur semua menarik. Tapi ada satu fitur penting yang tidak ada... Yaitu fitur backup. Menurut saya ini jadi kelemahan, karena tanpa backup saat apl ke hapus, HP di flash, atau ganti HP pengguna jadi sulit untuk mengetahui mana komik yang sudah/sendang merabaca, mencari chapter terakhir mereka baca. Itu sangat menyusahkan pengguna. Saya harap untuk update kedepannya bisa ditambahkan fitur backup ini, terimakasih...",-1,2
"Bagus. Cuman kenapa harus ada fitur Daily+, itu membuat pembacanya jadi malas baca cerita, ada juga para penonton yang mengunggu ceritanya sampai habis pas sudah habis malah bisa baca satu persatu. Kalau bacanya sehari sekali maka alur dan suasananua gak dapat. Mohon diperbaiki semoga saran saya bisa bermanfaat terimakasihh!",-1,2
Kok pas diperbarui tap untuk kebawahnya ga bisa....harus dadakan geser dari bawah keatas...padahal dulu enak banget sekali tap langsung ke atas tuh chapter ya......seharusnya diperbarui jangan menghilangkan fungsi yang lainnya Donk....jadi sedikit kecewa,-1,2
ceritanya seru²tpi harga koinnya mahal²😭😭 aplgi ada yg Ampe 18 koin😩. tolong dong koinnya max 10-15 koin per episodenya,-1,2
"Saya apresiasi komik²nya bnyk yg bagus, tp akhir² ini webtoon jd pelit bgt. Saya ngerti pihak webtoon jga butuh ambil keuntungan, apalagi utk para artist² webtoon nya. Tp ga gini juga, dulu kalian bsa ngadain event 2x secara berdekatan, lumayan bisa minimal dpet 12 koin gratis, skrg event cma skali dpet 7 koin 5 hari doang berlakunya, sdangkan rata² komik harganya 10-14 koin. Saran aja gausah dikasih batas waktu dlm hadiah koin, kasian yg mau nabung koin. Mgkin bsa 5 koin hadiah tanpa batas wktu",-1,2
"Hae gaes~ Buat kalian yg mau nyari apk komik, ini nih apk nya.. ceritanya seru and menarik, ad berbagai macam genre, update di setiap ceritanya dh di tentuin jd klian tinggal pilih mna yg klian suka, trus klo udh dipilih jn lupa di baca, klo udh di baca jn lupa di tambahin ke favorit sma kasih love, jn bisanya ngebaca doank hargai authornya~ Jadi gua kasih saran instal ae skrng jn pke mikirr di jamin ga bakal nyesel.",-1,2
"ini kenapa dah webtoon ih? masa ""tidak ada koneksi internet"", apps lain lancar jaya, kuota internet aman, sinyal oke lagi perbaikan atau gimana ini? kok nggak ada pemberitahuan sampek install ulang berkali-kali tetep gak bisa",-1,2
apk bagus isinya juga bagus gak kaya apk lain yang isinya s*ks semua,-1,2
Saya kasi bintang 4 karna ada 1 hal yg membuat mungkin sebagian org tidak dapat membaca sampai akhir karna kehabisan koin tolong untuk developer kalau bisa sistem membuka episode mengunakan koin di hapus karna tidak semua org mampu membeli koin yg banyak itu saja dari saya assalamualaikum,-1,2
"gua suka Webtoon dari dulu, meskipun ga semua gratis tapi gua suka karena kemudahan yang diberikan. tapi gua agak kecewa sama Webtoon belakangan ini karena beberapa kali ketika gua top up koin selalu gagal dan gak tau apa masalahnya. padahal untuk aplikasi lain, tidak ada masalah ketika top up. tolong diperbaiki lagi ya Dev, padahal ada beberapa eps yang benar-benar mau gua baca dan butuh koin. tapi karena masalah itu jadi harus bersabar deh.",1,2
"padahal tampilan awal 'home' udah bagus dan terbiasa, eh malah diubah.. sekarang tampilan 'home' jadi jelek dan ga nyaman. aku suka banget baca webtoon, apalagi pas ada webtoon baru terus ditampilin di bagian 'home' yang bisa dislide-slide itu. jadinya koleksi bacaan makin banyaak~ tapi pas tampilan 'home' diubah jadi susah mau nyari cerita yang bagus karna harus dibuka satu-satu. belum lagi ga semua cover + judul cerita di webtoon itu menarik, jadi kalau ga keliatan menarik ya ga bakal kebaca",-1,2
"bagus bgt, suka sama cerita2 nya, bisa dibaca diwaktu santai, tapi kenapa si suka tiba tiba muncul ""koneksi jaringan tidak stabil, silahkan cek jaringan"" aga lupa bacaannya apa, pokoknya itu laa..naah pdhl wifi gue lancar bgt, kok pas baca komik tiba2 muncul gitu, mana ga bisa ilang...tp apk nya bagus kok, itu aja kekurangannya mnurut akuu🤭",-1,2
"arigato untuk developer nya udh buatin app yg bagus banget, webtoon webtoonnya udh terjadwal, ga kaya app komik yg lain, hrs pake koin walaupun udah 1 Minggu, tapi ini tiap Minggu semua webtoonnya udah up, fav bangett",-1,2
"Kok lama banget sih gmbrnya kebuka,pdhal sinyal bagus,buat buka apa aja bisa,tp buat buka weebtoon kok susah,tlong di perbaiki dong",-1,2
"Tampilan nya bagus, ceritanya lumayan lah, yg suka komik/nggambar anime download dah di jamin gk bakal nyesel. Untuk orang-orang yg ingin salah satu komik di rilis tiap hari, tolong jangan katakan itu lagi, karena yg bikin kan manusia perlu istirahat, dan bagi yg bosen nunggu kalian harus sabar karena gk mungkin kalian suka sekali salah satu komik klo kalian gk bisa bener bener sabar nungguin episode baru komik nya rilis",-1,2
bagus cuma banyakin manhwa nya pliss,-1,2
"sebagai manusia prik dan nolep,aink bosen cuma baca manga anime kea tokrep,jjk,haikyuu.Jadi, download Webtoon deh.sekalian baca baca komik yang lagi trend.Pada dasar dan intinya,ini apk baca komik is the best.ya udah ya,itu aje.Dadah",-1,2
"Bagus banget si webtoonnya tapi screenshot nya diizinin lagi dung, kan mau di jadiin wallpaper biar kerenn huhuu, nyari fotonya jd susah klo udh ngefans:((",-1,2
bagus cerita kerjaannya anak kecil terlalu sedikit,-1,2
"saya suka dengan apk ini. tapi masalah nya, kenapa iklan judol yg di tampilkan. sungguh sangat menggangu. hapus iklan judol di apk ini min🙏",-1,2
"asliii apk ny baguss,,, gambarnya juga rapi dan detail gambar ny bikin keren apalagi gendre ² ny ,, wahh banyk banget ,,, alur ceritanya bikin baper pokoknya apk ini bintang 5",-1,2
"Kenapa ya 2 hari ini ga muncul episode baru dri komik2nya di akunku? Pdahal ada jadwal update, tp episode barunya ga muncul. Instalasi jga sdah terupdate. Apa ada kendala dalam app? Jd kelewat episode kan ga asik 😔",-1,2
"baguss, bisa baca offline kalo udh didownload salah satu komiknya. cmn kadang udh didownload salah satu komik ada beberapa gambar yang ga muncul, atau kepotong alurnya. dimohon perbaikannya",-1,2
Aku kecawa sama ni aplikasi. Padahal seru banget tapi kenapa cuma gambar putih aja yang keluar padahal kuota masih banyak. Dengan berat hati gua uninstal nih webtoon .sayang sekali,-1,2
"Apk ini tidak memiliki daftar komik yg lengkap ada beberapa komik tidak terdaftar di apk ini seperti the tutorial tower dan lainya mudah"" komik yg tidak ada akan segera dilengkapi dimasa mendatang . Ketika saya hendak mambaca komik yg ada knp gambar nya tidak muncul padahal jaringan saya lancar"" saja bahkan saya bisa download anime 1 season dengan lancar tanpa macet saat mendownload nya mudah"" apk ini cepat diperbaiki sehingga saya dapat membaca komik di apk ini lagi ~~~~~~~~Terima kasih~~~~~~~~",-1,2
"webtoon lama jangan premium pliss,kalo bisa minimal 1-5 koin aja per eps. kalo yang on Going kalo bisa baca gratis nya dicepetin,atau pake iklan tapi banyakin😁",-1,2
Apk nya bagus kok komik2 ny jg keren n g ngebosenin. saran aku cuma banyakin event koin gratis buat para readers yg suka gasabaran kek gw ini hahaha. tapi sygny first akun gw gabisa login padahal msi ada koinnya hweeeee,-1,2
"setiap mau baca manhwa baru ga bisa terus muncul tulisan, terjadi-masalah2 terus ada juga sih yang bisa tapi kebanyakan gak bisa kenapa yah ini, padahal umur saya diatas 18 plus",-1,2
Update yang terbaru aneh ga bisa liat rating mana yang bagus mana yang rekomendasi ini malah dimatiin fitur ratingnya jadi males mau baca sekarang,-1,2
"Kok loadingnya lama banget padahal sinyal bagus kuota masih banyak tapi loadingnya lama cerita""nya emang bagus"" tapi kalok lama kek gini bisa bosen nunggunya tolong diperbaiki kalok udah baru saya kasih bintang 5",-1,2
"Kenapa setiap masuk Webtoon gabisa baca komiknya ""anda sedang tidak terhubung ke internet"" padahal internet lancar dan pake WiFi buka yt lancar ajaa,tolong dong segera diperbaiki bug nya",-1,2
"Tampilan berandanya yg sekarang kurang suka, lebih suka yang lama bisa tau jadwal webtoon apa saja yg up di hari itu, kalo tampilan yg sekarang bener2 ga nyaman, harus scroll ke bawah terus, tolong kembalikan yg tampilan lama saja min",-1,2
"Aq suka, bisa buat hiburan, komiknya seruu bgt, cma saran aja tambahin komik genre fantasi, drama dll, jgn kebanyakan romantis",-1,2
semenjak di-upgrade malah ngelek dan gak bisa di buka padahal pakai wifi 😭😭 kecewa banget aku padahal banyak banget komik kesukaan yg setiap hari dibaca kalau lagi gak ada kerjaan,-1,2
Aplikasinya sangat baik untuk mengisi waktu luang apalagi aku yang menyukai membaca pokoknya aplikasinya bagus deh kalian pasti nyesel kalo gak download terimakasih untuk delevoper,-1,2
"Sya terkadang malas buka apk ini karena klw mendapat cerita yang bagus selalu episode selanjutnya berbayar jadi buat sya tidak mood. Apk ini sebenarnya sangat bagus, tetapi mines harus bayar pake koin untuk buka episode yang baru kenapa enggak semua eps aja di beri 2 pilihan bisa pake fitur nonton iklan aja atau bayar pakai koin jangan cuman beberapa eps saja yang di beri pilihan itu, bukankah developer jga sudah mendapatkan benefit hanya dengan fitur itu.",-1,2
"tampilannya berubah total,, kalo mau liat perjadwal komiknya harus scroll sampai ke bawah dulu🥴",-1,2
"Woe yang protes gara gara koin, masih mending ada waktu 1 eps per 7 hari, Yang Lain? Harus beli Koin, Gak Ada Waktu pula, BERSYUKUR, buat aplikasi kayak Webtoon itu juga perlu namanya ""Uang"" Kalau gak ada Uang ya ini aplikasi udah gaada dari dulu mah Plus komiknya dari fan, ada yg action,magic,romance Dll, Aplikasi yang lain 98% Nya Romance semua, gw mending pilih Webtoon daripada aplikasi komik yg lain",-1,2
"Kadang ketika lagi baca komiknya, layernya suka bertumpuk dengan layer dari komik lain. Padahal sinyal wifi ataupun data seluler lancar. Tapi selebihnya oke oke saja. Terima kasih.",-1,2
"Sayang bgt ga bisa di screenshoot, saya pecinta webtoon dan sering promosiin judul"" komik webtoon yg menurut aku recomended, dan sayang bgt harus ada koin nya, jd ada perbedaan antara yg keluar uang sama yg ga, yg penting jgn win pay win aja deh",-1,2
Ini keren banget sumpah semua komiknya jg keren tapi ada beberapa komik dewasa jadi bagi yg dibawah umur 12 tahun lebih baik baca komik yg lucu lucu kaya komedi komedi gitu.,-1,2
"Saya berharap informasi genre suatu webtoon di halaman webtoonya lebih dari satu, bisalah dibuat 2 atau 3 genre. Dan lebih baik kalau tambah tag2 seperti di naver, lebih mudah mencari webtoon yg ingin reader baca. Kan hampir semuanya genre suatu cerita lebih dari satu. Kalau contoh tagnya vampire, friends to lovers, murim, dokter.",-1,2
seru juga bacanya berwarna tanpa iklan juga ga berbayar pokoknya cap👍 deh🤩🤩🤩,-1,2
Aq udh bc bnyk eps tp tiba2 aja semua komikx ga bs dbuka..ktx tdk ada jaringan🤔🤔kok bs pdhl kouta bnyk jaringanx full..tlng dong dperbaiki..udh brp kali q unduh ulang ttp aja ga bs dbuka..kecewa banget,-1,2
"Jangan terlalu menganak emaskan genre romance dong . Apknya bagus ,tapi kebanyakan romatis sm drama aja. Saya lebih suka genre action, fantasi ,martial. Tolong tambahin manhwa action lain ..",-1,2
"ini kenapa ya hbis instal ulang malah tambah berat di jaringan buat browsing n lain2 lancar tpi buat buka webtoon malah lemoet bahkan g muncul jaringan internet, kalo udah bagus nanti di tambahin lagi bintangnya",-1,2
"Webtoonku berapa hari ini nggk bisa kebuka, selalu muter2 trus, padahal jaringan nya bagus, udah ku coba upgrade tapi sama aja, malah buka komik sebelah lancar bgt",0,2
bagus deh aplikasi nya!! udah 2 tahun pake apk ini dan sampai sekarang masih bertahan!! tapi ada satu kekurangan. tolong yg di bayar pake koin kurangin dikit kek 😭😭 jadi nya susah mau baca sampai tamat,-1,2
"Bagus banget, aku suka sama ceritanya, gambarnya, Dan alur ceritanya Yang menarik.",-1,2
"nice... oya, kalo pas di ver english kita nggak bisa beli koinnya y...? tolong donk kasih tahu caranya.... soalnya ada Webtoon English yang pengen ku baca... karena pensaran bnget sama kelanjutannya... pleaseeeeee T-T",-1,2
