ulasan,label
"maaf sebelumnya kasih bintang 2, soalnya baru aja beli koin tapi 2 kali transaksi yang masuk cuma 1, padahal statis pembeliannya berhasil 2 2 nya, maaf ya webtoon, aku dah baca webtoon dari smp kelas 2 sampe sekarang udah lulus kuliah umur 23 th, tapi sedikit kecewa sama fitur pembelian koin, suka eror dan transaksi sering gk masuk padahal saldo udah kepotong",2
"kenapa saya stuck di loading pas saya klik manhwanya, kalo dulu sih diklik gk loading dulu langsung bisa baca , sekarang kok gini, padahal sinyal saya bagus, semenjak ui nya diubah saya jadi sulit baca, loading lama gk kelar kelar",2
plis developer ini aplikasi terfavorit ku mulai 2016 tpi kenapa habis update kok malah tampilannya sulit dan banyak bug. Bugnya parah bangetttttt wifi lancar juga tetep aja gk bisa jadi bingung bacanya plis tolong kembali ke menu sebelum update lebih enak dan jarang ada bug entar kalau udh aplikasinya normal kasih rating 5 😭😭😭,1
"Bagus sih, tinggal banyakin komik dari dracin sama komik dari drama Korea, atau kalo bisa dari komik lokal biar pembaca senang ada art lokal di webtoon, menurut aku lebih bagus yang komik dewasa di-koin juga gak masalah, biar para remaja sd, SMP dan SMA gak bakal baca yang kayak gituan.",5
"bagus tapi kenapa harus membayar dengan koin jadi pembaca baru tidak bisa membaca samapi selesai tolong mungkin jika setiap membaca , pembaca bisa mendapatkan koin, maka rating bagus kualitas bagus dan semuanya bagus itu hanya pendapat saya, tapi novel/komik ini adalah yang terbagus yang pernah saya instal 👍👍👍",5
"saya lebih suka tampilan webtoon lama, seperti pada saat kita membuat webtoon favorit akan ditampilkan gambar memanjang yang bagi saya itu bagus dibanding sekarang, yang sekarang seperti kosong sekali dan tidak menarik",2
"cerita dari karakter manhwa bagus banget , dan banyak kreasi seru dan unik dari cerita"" lainnya kalo bisa tambahkan lebih banyak lagi cerita manhwa nya yang lebih bagus dan seru untuk di baca di waktu luang 😁😁😁",5
"tampilan ny berubah, kecewa bgttt, padahal bagusan yg dlu, blm lagi bnyk manhwa 18+, emg gpp sih soalny ini emg untuk 12+, tapikan bnyak anak kecil yang di bwah 12+ baca, tolong di kurangi manhwa dgn konten 18+.",1
saya pengguna webtoon dari lama. kog sekarang webtoon tidak bisa di baca. selalu koneksi internet tidak ada. padahal wifi kencang. pake paket data pun tidak bisa. ini gimana sebanrnya. emang sengaja mau tutup kah aplikasi ini? tolonglah.,1
"bagus semua! gk ad yg plagiat kyk apk sebelah :v, bukan berarti aku nyindir tp ya disini kyk lebih enak aj gitu, banyak judul menarik, dari fantasi, aksi, kerajaan, romance,dll, bener bener bagus ><♥, ya semoga aj kedepannya bakal lebih baik lagi, terutama ada beberapa web yg kurang pantas untuk dilihat, jadi ya mohon diperketat lagi untuk membaca Webtoon, krn kita kn gtw ya apakah ada ank di bwah umur yg baca Webtoon atau gk, pasti gk kan? ya gk mungkin gk ada,tolong diperketat lagi pls 🙏",5
em... aku kurang sihh sebenarnya baguss loh aku rekomendasi sih cumann pass kita gak ad duit dan koin kita habiss gak bisa nonton episode selanjutnya itu sih yg jadi masalah dompet kuuu udh mau menipiss soalnya hehe 😫😫😓😓😓,4
"webtoonnya aneh, masa ikon aplikasi Webtoon ku jadi ga jelas. Gambarnya malah aneh banget, perbaiki dong. Ini termasuknya bug tau! akunya jadi ga nyaman buat buka aplikasi😔🥀",1
"saya sudah pakek webtoon ini dari lama, dan saya suka juga, terkadang saya suka mencari bacaan di Kanvas, namun sangat di sayangkan, Kanvas sekarang dipakek buat promosi judol² oleh pihak yg tidak bertanggung jawab. untuk pihak webtoon, saya minta tolong dengan sangat, tolong sering² cek bagian Kanvas, mungkin bukan cuma saya yg terganggu oleh iklan² judol ini. maaf untuk sekarang saya kasih bintang 3 dulu🙏",3
Aplikasi ini terlalu pay-to-win. Iklan sering error jadi terpaksa beli koin kalau mau lanjut baca. Sangat tidak adil bagi pengguna gratisan.,1
Banyak cerita2 yang bagus dan baru. Semakin seru dan menarik sayangnya setiap mau lanjut pakai iklan suka lama muncul iklannya. kenapa ya? padahal internet gak ada gangguan. tolong ada yang bisa jelaskan...,4
"tolong kasih solusi dong, berkali kali ga bisa baca webtoon katanya ga ada koneksi internet padahal jaringan lagi bagus dan di pake buka aplikasi lain bisa.",3
"bagus aplikasi nya, cuma IKLAN NYA BISA DIGANTI DENGAN IKLAN YANG LAIN, JANGAN KASIH IKLAN YANG BERKAITAN JUDOL ATAU PINJOL, INI APLIKASI MEMBACA, IKLAN NYA MALA TENTANG JUDI, bisa di ganti ga iklan nya?",2
"bener bener suka banget sama apk ini,,dulu itu mulanya aku cuma cobain tapi ku ketagihan karena apaaa karena ya emang sebagus itu kita bisa baca komik disini walauuu terkadang sih bayar😂😂 but...it's ok buat ku",5
"pokoknya webtoon bintang 1 , aku padahal pengguna webtoon dari jaman jembut awal aplikasi tapi barubkali ini kaya sebel banget merasa di bohongi . pulsa aku 40600 masa neli koin 36.000 ga bisa , makin lama pajak lu tinggi banget . klo bisa pajek nya di cantumin .bisa aja aku liat web ilegal ,cuma saya sangat memghargai karya . tapi kali ini bener2 kecewaaa pajak nya kaya TAIIIII TAIIII TAIIII .....",1
"overall bagus, tapi makin kesini makin jelas kek harus nunggu / beli koin, dari biasanya dapet free dari iklan, sekarang semua komik yg gw baca harus pake koin gegara iklan error, tidak baik -⭐2",3
"Untuk tampilan makin pusing ya, biasanya aku tiap akhir baca ditandai like, sekarang like nya ga muncul di beranda tiap judul, trus warna abis dibaca tuh abu muda? jadi ga kliatan, untuk cerita yang sudah dibeli mohon diberi tanda, entah bintang atau apa bebas 🍀",1
"Nggak pernah komen di playstore sebelumnya, tapi honestly UI kali ini bener bener nggak nyaman, better tampilan lama, lebih jelas dan enakk dipakenya. Tolong kembalikan tampilan seperti duluu 🙏🏻😭",2
"Setelah lama ga baca komik tampilan webtoon sekarang udah jauh beda tapi bukan berarti jelek, dulu masih banyak komik lokal tapi sekarang kebanyakan diisi komik dari luar. Jujur masih suka sama tampilan webtoon yang dulu vv",4
Webtoon ini knp ya kenapa setelah 5 eps ada bug kembali ke daftar eps kalau eps yang ada music nya hanya 1 eps lalu kembali ke halaman utama ini emang lagi ada bug atau aplikasi nya memang sedang di perbaiki ?? mohon di dengar ya min karena ini sangat tidak nyaman untuk selbih nya tidak papa cuman karena bug ini saja yang sangat mengganggu kemarin si gapapa tpi hari ini sangat parah bug nya,4
"UI dan UX hancur total, tampilan menu sukar dipahami. Aku lupa judul apa yang terakhir kubaca dan sampai episode berapa. Dahulu Webtoon bisa mengingat aktivitas pengguna dan jika kita juga memilih episodenya kita bisa lompat ke tempat momen yang terakhir dibaca, tetapi Webtoon sekarang sungguh mengecewakan. Semoga diperbaiki dan fitur-fitur bagus dikembalikan.",1
"aneh bgt, masa pas mau nonton iklan ga bisa? error terus... padahal wifi ku lancar aja? apa apaan? gimana mau lanjut baca coba? jadinya harus pake koin..., koinnya bayar pula,katanya gratis,koinnya mungkin bisa dapar dari game lain?aku ga permasalahin yg koin,tpi kenapa gabisa nonton iklan? tolong di perbaiki agar beberapa org seperti ku juga tidak risih dengan hal ini..., padahal mau nonton iklan lho",1
"aplikasinya bagus dan bikin kita terhibur, dan tolong, kenapa sih harus butuh koin untuk bacanya? dan saya bisa dapetin koin dari quest tetapi quest nya susah, kadang waktu lagi ngerjain quest dan memang udah lengkap atau sesuai dengan misinya eh malah ga masuk coin nya, kadang bikin kesel juga, di suruh kerjain quest nya susah tapi dapet coinya dikit kaya 2 gitu, kadang udah susah banget dapet coin paling 2 atau 20 an lah pokonya susah, tolong ya jangan susah susah amat. makasih.",4
"Halo, Webtoon tuh jd aplikasi yg paling aku seneng karena bisa mengisi waktu klo lg bosen dan butuh refresing. Tp, semakin kesini aplikasinya upgrade tp kualitasnya tidak ikut upgrade jg. Malah saat ini tidak bisa membuka episode selanjutnya dengan iklan, selalu loading dan tidak terbuka nonton iklannya. padahal jaringan internet sangat bagus, wi fi pun juga sama. ada apa ya? saya selalu membaca free dgn cara menonton iklan, kalau webtoon yg bikin penasaran baru saya akan membeli koin. thanks.",3
"iya suka tampilan yang dulu sekarang ribet kalau mau baca yang sudah pernah dibaca atau difavoritkan,dan suka tidak ada internet padahal jaringannya bagus buat lihat film berbayar juga lancar saja bahkan yang paling bagus ukuran gambarnya,tolong diperbaiki bugnya. berat banget cuma gambar dan tulisan saja,lah bagaimana kalau sudah seperti film makin tidak bisa di buka malah nanti, update itu seharusnya semakin bagus dan semakin mudah tidak sih.",1
"sungguh murah hati, tidak seperti apk lain yang harus peminum atau apalah untuk membaca komik secara bebas,ya walaupun ada beberapa komik yang harus berlangganan tapi hanya sebagian kecil",5
"min, balikin tampilan versi lama dong😭😭 sumpah yang sekarang tampilannya gk nyaman banget dimata😭😭 yg sebelumnya juga lumayan sih walau tetep bikin sakit mata tapi lebih better daripada yg sekarang 😭😭 tolong dengarkan permintaan para readers mu ini min😭😭😭 ama tolong ilangin episode koin dikomik yg udh tamat min😭😭 kalo kek gini webtoon malah sama kek kakaop**e😭😭😭 padahal dulu suka banget baca webtoon karna baik tapi sekarang malah 11-12😭😭😭",2
"pembaruan baru ga bisa masuk, login lama muter2 mulu, katanya ga ada koneksi internet. orang gua lagi pake wifi, dan gua buka yt aman aja. aplikasi tolol",1
"webtoon makin update, malah makin aneh bgt di liatnya. Mendingan kaya dulu aja fiturnya, langsung liat ceritanya di jadwal harian. kalo skrg harus cari2 dlu jadwalnya dimana, pdhl kan ceritanya itu2 aja, ngapain di banyak2in fiturnya bikin bingung buat cek cerita di jadwal lain. trs yg biasanya liat eps selanjutnya di atas, skrg liatnya di bawah jd mirip apk sebelah jd untuk fitur yg skrg kurang suka",2
"kenapa Webtoon nya tidak bisa dibuka.??? pake alasan ""tidak ada jaringan internet"" lagi, ku kira jaringanku yang bermasalah, ternyata aplikasinya yang bermasalah!!! versi terbarunya BURUK SEKALI, kirain aku ajah yang punya kendala seperti ini. TOLONG KEMBALIKAN WEBTOON YANG DULU WOOOII.!!!",1
"Makin diupdate UI-nya makin jelek, iklan di mana-mana, banyak iklan judol padahal ga pernah nyari judol, udah gitu gambarnya kadang patah-patah atau blur, terjemahannya juga kadang gak sesuai konteks",1
"ga suka homepage sekarang, sumpek banget, trus tampilan tiap judul, daftar eps nya jadi kebalik, yg terbaru malah dibawah, Krn ud kebiasaan yg sblmnya, bkin ga nyaman. ga ada info views sma like di tampilan dpn eps, juga bukannya sebelum nya semua Webtoon ada preview nya? sekarang lagi/udah dibaca gada, tampilan nya jg ga enak diliat",1
sekarang abis update ko malah jadi sering bug si? bru masuk apk trus mau baca eh eps nya gak muncul muncul?! bolak balik buka tutup apk baru muncul. ngeselin bgt. trus juga pas lgi baca tiba tiba notif gk ada koneksi internet?! kuota ku banyak loh🙏,1
Bagussss banyak jenis komiknya teman2 jgn kawatir komiknya bisa didownload tapiiii ad beberapa bagian komik yg mengharuskan kita pakai koin cara dpt koinnya yaa bayar atau nyelesain misi main game tertentu tampilannya udah diubah lagi plus ad video shortnya buat nambah bacaan selanjutnya 👉🏻👈🏻,5
"seru bangett,cuma ada beberapa manhwa yang harus dibeli buat ngebuka episode nya ,cuma yang lain nya bisa dibuka gratis dengan cara nonton iklan tapi seru banget semoga manhwa yang ada di kakao juga cepat rilis😚😚😚",5
"setelah update ke versi terbaru, untuk perangkat tab gambarnya malah tidak sesuai dengan ukuran tab nya,jadi gambarnya malah keliatan kecil, mendingan balikin aja ke yang sebelumnya untuk ukuran layar gambar nya biar full screen jadi enak buat bacanya, terus untuk fitur screenshot itu bagus banget sih jadi kita bisa jadiin walpaper dari gambar yang bagus,tapi fitur ini menurut saya agak riskan soalnya nanti malah bisa ada pembajakan,ya menurut saya untuk gambar hasil screenshot nya teks ilangin",4
"bagusan Webtoon yang lama yang baru jadi aneh,kayak beda aja gitu kalau biasanya bisa lihat yang mana aja cerita baru tiap hari sekarang harus ribet bangat , lebih suka yang lama tolong dong pihak Webtoon nya agar kembali apk yang lama mengecewakan.",2
"knp susah dibuka skrg aplikasi ny,,setiap d buka keluar lg,sllu seperti itu,,pdhl ud jd pelanggan setia weebtoon dri 2011,agk kecewa seh tp msh ttp setia koq,,tlng sgra d perbaiki dong biar enk lanjut baca lg,ud hmpir semggu ne susah buka aplikasinya",5
apaan lah sekarang aplikasi Webtoon aneh banget dulu enak nya di buka biar pun pake iklan sekarang harus koin koin eh Webtoon kami juga gunakan aplikasi mu pakai data paket internet gerti gak hapus aja aplikasi mu klw gak bisa di buka aneh banget,1
"udah beberapa kali update tapi pas pembelian koin masih sering eror, padahal udah dibeli, uang dah masuk. tapi koin nya ga dapet malah eror mulu, benerin dong! kalo ga balikin uang ku",1
"kenapa pas koneksi ku baik baik aja malah katanya ngga ada koneksi, terus pas login ke akun lama malah semuanya hilang padahal dulu sempat ganti akun dan login lagi tapi tetap bisa masih ada di dalamnya sama tapi sekarang hilang semua mana banyak unduhan nya lagi yang BELUM DIBACA dan itu HILANG SEMUA tolong ya diperbaiki terimakasih. dan yak sekarang ngga bisa login via google jujur lumayan kecewa banget sih",1
"Webtoon memiliki koleksi komik yang sangat luas, termasuk manhwa Korea, manga Jepang, dan komik Indonesia, dengan berbagai genre seperti komedi, romantis, fantasi, dan horor.",4
"Sya terkadang malas buka apk ini karena klw mendapat cerita yang bagus selalu episode selanjutnya berbayar jadi buat sya tidak mood. Apk ini sebenarnya sangat bagus, tetapi mines harus bayar pake koin untuk buka episode yang baru kenapa enggak semua eps aja di beri 2 pilihan bisa pake fitur nonton iklan aja atau bayar pakai koin jangan cuman beberapa eps saja yang di beri pilihan itu, bukankah developer jga sudah mendapatkan benefit hanya dengan fitur itu.",3
"kembalikan webtoon yg dulu.. saya download apl ini dari pertama muncul dan aku tau kualitas webtoon seperti apa.. sekarang banyak genre"" yg tidak pantas yg seharusnya tidak ada di apl webtoon, jadi seperti bukan apl webtoon yg selama ini sudah dibangun kredibilitasnya..",2
"Semoga aja pihak webtoon mau baca ulasan2 kami ya karena, gak cuma saya aja yang makin kesini makin gak nyaman. jujur, tampilannya bagus yang dulu entahkenapa semakin di update semakin banyak fitur yang nggak berguna. apalagi tiba2 ada iklan lewat tolong dong, bikin kami nyaman lagi sama webtoon kangen sama webtoon yang dulu 😭",1
"saya sangat terhibur ketika membaca webtoon, saya sangat menyukai webtoon, tetapi setelah mendengar kabar yang akhir² ini tersebar bahwa manhwa ""Bastian"" akan diberhentikan saya sedih juga sedikit kesal pada webtoon, saran saya sebagai readers sejati JANGAN BERHENTI KAN ""BASTIAN""!!!",4
"Saya pengguna aplikasi ini dari lama. Apl ini menemani saya dari masa SMP hingga saya kuliah ini. Jujur aplikasi ini bagus banget, sangat menghibur dan mengisi hari senggang saya tapi akhir-akhir ini saya merasa kecewa karena di Webtoon yang sekarang banyak mengeluarkan cerita-cerita yang berbau dewasa. Jadi saya sebagai pembaca yang dari dulu ikut membaca dari aplikasi itu merasa kurang nyaman, mohon maaf semoga bisa dikurangi yang berbau dewasanya^⁠_⁠^Makasih",5
"Yah.. kenapa sekarang hampir semua komiknya harus baca pake koin sih? Kan ga enak jadinya, boros.. Tolong dong kembali kayak dulu lagi yang hampir semua komiknya gratis.",3
"Tampilan yang terbaru menurutku engga banget ya, udh beberapa kali update bukannya mempermudah mencari jadwal harian jdinya harus bnr bnr telaten liatin ada di sebelah mana, masih enakan tampilan yang lama, jatuhnya tampilan yang sekarang kaya gimana ada kesan sebelnya dan bikin pusing",1
"sy pribadi lbh suka tampilan webtoon dulu, like eps kliatan berguna untuk tandain chapter favorit jadi ez buat cari lg, tp skrng g kliatan lg, dulu kl cari judul psti muncul webtoon yg emg jdulnya akurat, tapi skrng kl cari wlpn udh sesuai judul, pasti judul lain yang cuma punya 1 kata yang sama dgn yg aku search juga ikut muncul, prhnya tampilan cm cover dan itu bikin pusing bgt, plus skrng lag bgt kalo buka wb pdhl jaringan stabil, tolong perbaiki.",1
"tolong bug pada apk ini dibenerin, padahal aku pakai wifi sinyal nya kuat, kukira wifi ny bermasalah ternyata apk nya yg ngebug, kenapa muncul tidak ada koneksi internet? padhal jelas² aku pakai wifi sama data seluler",1
"jelek banget tampilan webtoon yg skrg. info banyak yg ga jelas karena ketutupan fitur ga penting, berita atau poster yg dulu ada di paling atas ga bisa diliat. jelek banget intinya, jelek. ga pernah sekecewa ini sm webtoon padahal udah 11 tahun jd pembaca setia.",1
"ini kenapa sih padahal udah pake wifi dan jaringan bagus, tapi kok gak bisa baca komik yang sebelumnya udah ku baca,terus suka muncul tulisan 'koneksi internet terputus' padahal jaringannya bagus,tolong di periksa yah ini kenapa _lama lama ku uninstal juga ni aplikasi_",1
"setelah update baru2 ini saya kurang suka dgn tampilan list eps yang baru ada di bawha dan terasa seperti kecil2 dan padat, mengurangi rasa nyaman dan santai saat melihat2, untuk list episode saya lebih menyukai yang sebelum nya karna terkesan nyaman dan eps yang belum di baca berada di atas, karena untuk apk webtoom saya rasa kesan nyaman dan santai cukup menyenagkan, halaman home yang sekarang cukup fresh dan dapat memancing membaca komik baru untuk halaman home saya menyukai nya.",3
"Webtoon sekarang jelek banget tampilannya, udah bagus tampilan yg dulu aja. Ini juga aplikasi official kok malah nampilin iklan judol sih, yg bener aja dong, semoga segera dihilangkan ya iklannya",1
"Saya sangatt terhiburrrr Skali..aku berterima kasih untuk KK/abng penulis komik dan sekaligus pencipta Webtoon..komik nya atau alur nya sangat sangat romantis, dramatis,dan baguss Skali.. hanya saja kekurangan nya di komik paling bagus gak nyampe tamat Free nya..harus bayar pake koin.trush aku Masi pengguna..mau tamatin komik karena saking serunya eh aku kecewa karna terpaksa bayar pake koin/Pilih iklan untuk menonton.",5
"Tolong ya, Tombol untuk jadikan Favorit suatu webtoon itu taruh juga di pojok kanan atas (titik 3) saat kita sedang baca webtoonnya, sehingga kalau kita suka tinggal klik saja dari situ, tidak perlu keluar dari chapter yang sedang dibaca. Biar banyak webtoon yang makin ⭐Favorit",4
"gedeg banget perkara mau beli koin juga. udah isi pulsa tapi katanya gabisa, pulsa ngga cukup pdahal pulsanya dilebihin banyak dari koin yg mau dibeli. pake telkomsel gabisa, diarahkan pake indosat, udah coba pake indosat juga ttep gabisa. maunya apasihh?? ngarudetkeun",2
bagus banget. ceritanya tambah banyak kualitasnya juga juara banget .tapi...... minusnya kadang iklannya lama banget buat munjul. itu dong si yang lain oke oke aja,4
"wahh WEBTOON Emang seru banget sih Novel Manga dan Ceritanya itu Menarik dan Nyambung banget di Setiap Episode dan Ada Adegan komedinya jugaa dan Ada cerita horor yang lebih menarik,serba Anime!^^ Aku suka banget deh Kalau setiap Hari Baca ini,Kalau bosan,dan lumayan Gratis,dan Walaupun ada Sedikit Iklan atau bayar pakai koin setiap mau lewatin Novel yaa GPP sih,. okayy Sekian dariku Terimakasih 🙏🏻😊. Ini bagi kalian yang suka sama Manga yaa💗😊",5
"webtoon,km knp?aku lebih suka tata letak yang dulu, yg sekarang bikin sakit mata,dulu kl aku search ""a"" semua pasti muncul yg ada hurufnya itu, skrg kl aku search ""a"" yg muncul cm huruf tunggal",4
"Seru banget , terus ilustrasi nya juga keren keren bagus deh aplikasi ini, dan ada banyak cerita seru. Tapi di beberapa episode akan ada pembayaran koin biyar bisa lnjut 😭😭😭.Tapi tidak semua episode, ada juga yang harus nonton iklan.",4
"This app really was good before latest update. Sincerely. Tapi setelah update, kok di beberapa aspek malah makin jelek ya? Pertama, aplikasinya jdi makin lemot, udh sma persis kek buka aplikasi olshop oren, ngerti lah. Udah gitu UI nya atau tampilannya sekarang malah bikin pusing dan terkesan ""jadul""(?). apalagi karna aku pribadi adalah pembaca gratisan pke iklan, skrg iklannya jdi sering ga muncul yang bikin aku jdi ga bisa bca episode2 yg hrsnya unlockable pke iklan. Pls fix this🙏",3
"tampilan sekarang bikin ga nyaman banget asli, lebih suka tampilan yang old lebih gampang buat nyari2 komiknya, yang sekarang ribet, terus ada beberapa fitur fav yang dihapus, please lah ini bukannya upgrade malah downgrade parah asli, balikin tampilan webtoon yang duluuu gw kasih b 5",3
bagus banget bisa di download tapi kalo bisa tolong tambahin fitur download nya di kartu memori spya bisa menghemat penyimpanan hp. soalnya sya paling suka baca komik saat offline saya bisa kasih bintang lima klo udah diperbaiki,4
"kata adik saya aplikasi ini sangat bagus, kasih dia berbagai referensi gambar dan cerita, hingga dia mulai tertarik untuk buat manhwa juga. saya dukung, of course? jadi bagaimana cara untuk menjadi creator?",5
"saya pengguna lama, tpi setelah update malah bikin bingung tampilannya, harus betul2 discroll untuk jadwalnya dan cari favorit jga agak susah, di-update malah makin bingung menunya, tolong perbaiki, klo gini sih mending ga ush di-update",3
"Oke update keren. Tapi desain tombol menu yang sekarang, memindahkan pilihan ke akses jadwal harian itu jadi membuat susah. Opsi New&Hot (saya rasa ini bukan hal yang penting) sebaiknya diganti saja lagi dengan Jadwal harian agar lebih memudahkan seperti sebelumnya, tidak menyusahkan scroll sana sini lagi.",3
sudah pakai 7 tahunan tapi tampilan aplikasinya makin lama makin jelek bikin bingung pengguna. Fiturnya banyak banget yg berubah setiap kali upgrade pdhl yg lama udh bagus & nyaman krn pencariannya mudah,3
"wabtoon lagi knp sih masa saya lagi baca di bilang tdk ada koneksi internet padahal saya pakai wifi dan di apk lain lancar aja internet nya, pdhl dulu aman² aja bahkan saya kasi bintang 5 loh krn gk ada masalah apa sm apknya, TOLONG diperbaiki segera, banyak komik yg harus saya baca.",3
"aku suka banget sama apk ini, tapi itu dulu. sekarang menurutku penempatan komik nya jadi jelek banget lalu data Webtoon apa aja yg pernah dibaca ilang, terus ada fitur vidio yang ga tau kegunaan nya apa. pokoknya setelah di-update jadi males buka lagi karna sempit banget penempatannya ga enak. maaf ini kritik mohon bisa diperbaiki lagi ato dibalikin aja ke versi lamanya lebih enak dipandang",4
"Nyesel update soalnya aplikasi sekarang bikin pusing, padahal yang dulu sudah bagus seperti episode koin yang diarsip biar lebih rapi, episode terbaru berada diatas. Kalo sekarang malah episode 1 yg diatas jadi kalo mau baca episode baru harus scroll kebawah, capek apalagi buat chap yg udah 200/500 lebih dan kenapa harus ada iklan saat membaca episode gratis, itu jujur saja mengganggu kenyamanan. Mohon balikin tampilan aplikasi seperti dulu aja, pembaharuan sekarang lebih mirip web ilegal.",1
